title,release_date,budget,revenue,vote_average,genres_cleaned
The Cheat,1915-12-13,17311.0,137365.0,4.8,Drama
Foolish Wives,1922-01-11,1100000.0,400200.0,6.4,Drama
The Thief of Bagdad,1924-03-18,1135654.0,1213880.0,7.4,"Action, Adventure, Drama, Family, Fantasy"
The Gold Rush,1925-06-25,923000.0,2500000.0,7.7,"Adventure, Comedy, Drama"
The Merry Widow,1925-08-26,592.0,1.0,6.5,"Romance, Drama"
The Unholy Three,1925-09-16,103000.0,704000.0,5.8,"Crime, Drama, Romance"
The Big Parade,1925-11-05,245000.0,22000000.0,7.0,"Drama, Romance, War"
Ben-Hur: A Tale of the Christ,1925-12-30,3900000.0,9000000.0,7.3,"Adventure, Drama"
Sparrows,1926-05-14,463455.0,966878.0,8.0,Drama
Flesh and the Devil,1926-12-25,373000.0,658000.0,7.9,"Drama, Romance"
My Best Girl,1927-10-31,483103.0,1027757.0,8.0,"Drama, Comedy, Romance"
Across to Singapore,1928-04-07,290000.0,596000.0,7.7,"Adventure, Drama"
Lights of New York,1928-07-18,75000.0,1200000.0,5.7,"Crime, Drama"
The Mysterious Lady,1928-08-04,337.0,551.0,7.5,"Adventure, Drama"
West of Zanzibar,1928-11-24,259000.0,921000.0,6.2,"Drama, Mystery"
The Broadway Melody,1929-02-08,379000.0,4358000.0,5.0,"Drama, Music, Romance"
Hell's Angels,1930-11-15,3950000.0,8000000.0,6.1,"Action, Drama, History"
City Lights,1931-01-30,1500000.0,19181.0,8.2,"Comedy, Drama, Romance"
Frankenstein,1931-11-21,291000.0,12000000.0,7.3,"Drama, Horror, Science Fiction"
Mata Hari,1931-12-26,558000.0,2227000.0,6.1,"Drama, Action, Thriller, Romance"
Grand Hotel,1932-05-25,700000.0,2594000.0,6.5,"Drama, Romance"
A Farewell to Arms,1932-12-08,4.0,25.0,6.2,"Drama, Romance, War"
42nd Street,1933-02-02,439000.0,2281000.0,6.1,"Music, Comedy, Romance"
Cavalcade,1933-02-08,1180280.0,7630000.0,4.6,Drama
She Done Him Wrong,1933-02-09,200000.0,2200000.0,5.2,Comedy
I'm No Angel,1933-10-06,225000.0,2850000.0,6.3,"Comedy, Romance"
Queen Christina,1933-12-26,1114000.0,2610000.0,6.8,"Drama, History, Romance"
It Happened One Night,1934-02-22,325000.0,4500000.0,7.7,"Comedy, Romance"
The Thin Man,1934-05-25,226408.0,1423000.0,7.4,"Comedy, Crime, Mystery"
The Painted Veil,1934-11-23,947000.0,1120000.0,5.2,"Romance, Drama"
Star of Midnight,1935-04-19,280.0,831.0,5.3,"Romance, Comedy, Mystery"
The Informer,1935-05-09,243000.0,950000.0,6.5,Drama
Top Hat,1935-09-06,609000.0,3202000.0,7.4,"Comedy, Music, Romance"
Modern Times,1936-02-05,1.0,8500000.0,8.1,"Drama, Comedy"
San Francisco,1936-06-26,1300000.0,5273000.0,7.0,"Music, Drama, Romance"
Swing Time,1936-08-27,886000.0,2600000.0,7.1,"Comedy, Music, Romance"
Mary of Scotland,1936-08-28,864000.0,1276000.0,6.6,"Drama, History"
The Gorgeous Hussy,1936-08-28,1119000.0,2019000.0,2.5,"Drama, History"
The Charge of the Light Brigade,1936-10-20,1200000.0,2736000.0,6.8,"Action, Adventure, Drama, War"
Snow White and the Seven Dwarfs,1937-12-20,1488423.0,184925486.0,6.9,"Fantasy, Animation, Family"
The Adventures of Robin Hood,1938-05-13,2033000.0,3981000.0,7.6,"Action, Adventure, Romance"
Alexander's Ragtime Band,1938-05-24,2000000.0,4000000.0,4.8,"Drama, Music, Romance"
You Can't Take It With You,1938-08-23,1644736.0,7433101.0,7.2,"Comedy, Romance"
Stagecoach,1939-03-02,531374.0,1103757.0,7.6,"Adventure, Western"
The Wizard of Oz,1939-08-15,2777000.0,33754967.0,7.4,"Adventure, Family, Fantasy"
Ninotchka,1939-10-06,1365000.0,2279000.0,7.3,"Comedy, Romance"
Mr. Smith Goes to Washington,1939-10-19,1500000.0,9600000.0,7.9,"Comedy, Drama"
Gone with the Wind,1939-12-15,4000000.0,400176459.0,7.7,"Drama, Romance, War"
Rebecca,1940-04-12,1288000.0,6000000.0,7.7,"Drama, Mystery"
Boom Town,1940-08-30,2000000.0,9172000.0,6.5,"Adventure, Drama, Romance"
The Great Dictator,1940-10-15,2000000.0,11000000.0,8.1,Comedy
Fantasia,1940-11-13,2280000.0,83320000.0,7.2,"Animation, Family, Music"
Citizen Kane,1941-04-30,839727.0,23217674.0,8.0,"Mystery, Drama"
Sergeant York,1941-07-02,1400000.0,16361885.0,7.1,"Action, Drama, History, War"
Dumbo,1941-10-22,812000.0,1600000.0,6.8,"Animation, Family"
How Green Was My Valley,1941-10-28,1250000.0,6000000.0,6.9,Drama
Suspicion,1941-11-14,1103000.0,4500000.0,7.1,"Mystery, Thriller"
The Maltese Falcon,1941-11-18,375000.0,1000000.0,7.8,"Mystery, Crime, Thriller"
Mrs. Miniver,1942-06-04,1344000.0,13500000.0,6.7,"Drama, Romance, War"
Invisible Agent,1942-07-31,322000.0,1040000.0,5.7,"Adventure, Comedy, Romance, Science Fiction, War"
Bambi,1942-08-14,858000.0,267447150.0,6.8,"Animation, Drama, Family"
For Me and My Gal,1942-10-21,802000.0,4371000.0,6.2,"Drama, Music, Romance"
Casablanca,1942-11-26,878000.0,10462500.0,7.9,"Drama, Romance"
Cat People,1942-12-05,134000.0,4000000.0,6.9,"Thriller, Drama, Horror"
Cabin in the Sky,1943-04-09,662141.0,1606624.0,7.1,"Fantasy, Music"
Five Graves to Cairo,1943-05-03,855000.0,1200000.0,6.9,"Thriller, War"
A Guy Named Joe,1944-03-01,2627000.0,5363000.0,6.0,"Drama, Romance, War"
Double Indemnity,1944-04-24,927262.0,2500000.0,8.0,"Drama, Mystery, Thriller"
Bathing Beauty,1944-07-01,2361000.0,6892000.0,7.0,"Comedy, Music"
Wilson,1944-08-01,2995000.0,2000000.0,5.5,"Romance, Drama, History, Music"
Laura,1944-10-11,1020000.0,2000000.0,7.6,"Drama, Mystery"
The Valley of Decision,1945-06-01,2160000.0,9132000.0,5.8,Drama
Mildred Pierce,1945-09-24,1453000.0,5638000.0,7.4,"Crime, Drama"
The Lost Weekend,1945-11-25,1250000.0,11000000.0,7.4,Drama
Spellbound,1945-12-28,1500000.0,7000000.0,7.3,"Drama, Mystery, Thriller"
Scarlet Street,1945-12-28,1202007.0,2948386.0,7.7,Drama
Notorious,1946-08-15,2000000.0,24464742.0,7.8,"Thriller, Drama, Romance"
It's a Wonderful Life,1946-12-20,3180000.0,9644124.0,8.0,"Drama, Family, Fantasy"
The Best Years of Our Lives,1946-12-25,2100000.0,23650000.0,7.6,"Drama, History, Romance"
Duel in the Sun,1946-12-31,6000000.0,20400000.0,6.2,Western
Gentleman's Agreement,1947-11-11,2000000.0,7800000.0,6.8,"Drama, Romance"
The Treasure of the Sierra Madre,1948-01-24,3800000.0,4307000.0,7.9,"Action, Adventure, Drama, Western"
Fort Apache,1948-03-26,2500000.0,3000000.0,6.8,Western
Miranda,1948-04-06,784170.0,834332.0,6.8,"Comedy, Drama, Fantasy, Romance, Science Fiction"
The Pirate,1948-06-11,3700000.0,2956000.0,6.6,"Music, Romance"
Rope,1948-08-23,1500000.0,2200000.0,7.8,"Crime, Drama, Mystery, Thriller"
Red River,1948-08-26,3000000.0,9012000.0,7.3,Western
Bicycle Thieves,1948-11-24,133000.0,361712.0,8.0,Drama
3 Godfathers,1948-12-01,1243000.0,2841000.0,6.1,"Action, Drama, Western"
She Wore a Yellow Ribbon,1949-10-22,1600000.0,5400000.0,7.1,Western
Sands of Iwo Jima,1949-12-14,1000000.0,7800000.0,6.2,"Action, Drama, History, War"
Samson and Delilah,1949-12-21,3000000.0,11500000.0,6.1,"Drama, Romance"
Wabash Avenue,1950-03-31,2115000.0,2039000.0,7.0,Music
Annie Get Your Gun,1950-05-17,3768785.0,8000000.0,7.3,"Action, Comedy, Music, Romance, Western"
Sunset Boulevard,1950-08-10,1752000.0,5000000.0,8.2,Drama
All About Eve,1950-11-09,1400000.0,63463.0,8.0,Drama
Rashomon,1950-12-26,250000.0,96568.0,8.0,"Crime, Drama, Mystery"
Valentino,1951-03-08,1300000.0,1550000.0,6.0,
Strangers on a Train,1951-06-18,1200000.0,7000000.0,7.6,"Crime, Drama, Thriller"
Ace in the Hole,1951-06-29,1821052.0,1300000.0,7.9,Drama
Show Boat,1951-07-13,2300000.0,11000000.0,6.9,"Music, Romance"
An American in Paris,1951-08-08,2723903.0,4500000.0,6.9,"Drama, Comedy, Music, Romance"
A Streetcar Named Desire,1951-09-18,1800000.0,8000000.0,7.6,Drama
Quo Vadis,1951-11-08,8250000.0,30000000.0,7.0,"Drama, History, Romance"
The African Queen,1951-12-03,1300000.0,10750000.0,7.4,"Adventure, War, Romance"
The Greatest Show on Earth,1952-01-10,4000000.0,36000000.0,6.6,"Action, Drama, Romance"
High Noon,1952-03-27,730000.0,8000000.0,7.6,Western
Singin' in the Rain,1952-04-10,2540800.0,7200000.0,7.9,"Comedy, Music, Romance"
Scaramouche,1952-05-08,3005000.0,6746000.0,6.9,"Action, Adventure, Drama"
Niagara,1953-01-26,1250000.0,8500000.0,6.7,"Crime, Drama, Thriller"
Shane,1953-04-23,3100000.0,20000000.0,7.3,"Drama, Western"
"The Beast from 20,000 Fathoms",1953-06-13,210000.0,5000000.0,6.7,"Adventure, Horror, Science Fiction"
Robot Monster,1953-06-25,16000.0,1000000.0,3.5,Science Fiction
The War of the Worlds,1953-08-13,2000000.0,2000000.0,6.8,"Horror, Science Fiction, Thriller"
From Here to Eternity,1953-08-28,1650000.0,30500000.0,7.2,"War, Drama, Romance"
Roman Holiday,1953-09-02,1500000.0,12000000.0,7.8,"Comedy, Romance"
The Robe,1953-09-16,4100000.0,36000000.0,6.4,Drama
Seven Samurai,1954-04-26,2000000.0,271841.0,8.2,"Action, Drama"
Dial M for Murder,1954-05-29,1400000.0,3000000.0,7.9,"Crime, Mystery, Thriller"
On the Waterfront,1954-06-22,910000.0,9600000.0,8.0,"Crime, Drama"
The Caine Mutiny,1954-06-24,2000000.0,21750000.0,7.2,"Drama, War"
Rear Window,1954-08-01,1000000.0,36764313.0,8.2,"Drama, Mystery, Thriller"
The Egyptian,1954-08-25,5000000.0,15000000.0,6.0,"History, Drama"
Sabrina,1954-09-28,2238813.0,10000000.0,7.4,"Comedy, Drama, Romance"
The Silver Chalice,1954-12-20,4500000.0,3200000.0,4.1,"Drama, Romance"
"20,000 Leagues Under the Sea",1954-12-23,5000000.0,28200000.0,6.9,"Adventure, Drama, Science Fiction"
